Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,modularity_class,eigencentrality
"적도",적도,,90,2,0.575,0.630435,24.690813,252,0,0.364055
"달부터",달부터,,68,2,0.554662,0.598551,15.795623,378,2,0.2848
"주일",주일,,56,2,0.544164,0.581159,6.522816,148,0,0.238692
"흐르다",흐르다,,72,2,0.558252,0.604348,17.652187,202,1,0.287989
9일,9일,,87,2,0.572139,0.626087,27.94231,272,0,0.346136
"달동",달동,,51,2,0.539906,0.573913,7.347384,150,0,0.211982
"뛰다",뛰다,,90,2,0.575,0.630435,23.355678,254,0,0.361331
11,11,,82,2,0.567434,0.618841,24.056547,210,1,0.324573
:,:,,69,2,0.555556,0.6,16.398521,172,1,0.276003
"확인",확인,,104,2,0.588737,0.650725,50.098002,292,1,0.396319
"검색",검색,,69,2,0.555556,0.6,16.454974,204,1,0.28072
"냠냠",냠냠,,87,2,0.572139,0.626087,32.97381,222,0,0.336847
"어쩔",어쩔,,62,2,0.549363,0.589855,20.137428,138,1,0.219668
"볼일",볼일,,55,2,0.543307,0.57971,9.235028,140,1,0.230439
"끝내다",끝내다,,59,2,0.546751,0.585507,13.85226,150,0,0.230725
23일,23일,,85,2,0.570248,0.623188,34.442021,242,0,0.317743
"길다",길다,,63,2,0.550239,0.591304,18.315627,150,0,0.249691
"예정",예정,,53,2,0.541601,0.576812,13.148493,134,0,0.209011
11일,11일,,67,2,0.553772,0.597101,15.772406,184,0,0.26286
"이요",이요,,61,2,0.54849,0.588406,11.880841,152,1,0.252985
"결론",결론,,64,2,0.551118,0.592754,12.691281,150,1,0.262582
"새",새,,67,2,0.553772,0.597101,13.386417,184,1,0.278588
"지식인",지식인,,96,2,0.580808,0.63913,27.124641,252,0,0.387649
"소리",소리,,82,2,0.567434,0.618841,24.481226,230,1,0.325629
"일수",일수,,91,2,0.57596,0.631884,31.58428,222,0,0.355602
"수요일",수요일,,63,2,0.550239,0.591304,22.19958,174,0,0.243831
"한다는",한다는,,52,2,0.540752,0.575362,8.841359,148,1,0.215153
"미루다",미루다,,64,2,0.551118,0.592754,19.876438,170,0,0.238334
"래",래,,70,2,0.556452,0.601449,23.31295,176,1,0.270569
"울다",울다,,61,2,0.54849,0.588406,9.330868,172,0,0.262402
"여름",여름,,68,2,0.554662,0.598551,22.063708,172,0,0.252748
"방학",방학,,94,2,0.578859,0.636232,34.236892,240,0,0.364747
"축축하다",축축하다,,85,2,0.570248,0.623188,16.531564,272,1,0.35033
"변하다",변하다,,90,2,0.575,0.630435,26.628183,228,1,0.359911
"까진",까진,,25,2,0.518797,0.536232,1.31066,70,1,0.115079
"가지",가지,,67,2,0.553772,0.597101,15.469454,170,1,0.279142
"학기",학기,,37,2,0.528331,0.553623,1.792232,94,0,0.165293
"단계",단계,,46,2,0.535714,0.566667,4.661069,140,1,0.191002
"회",회,,36,2,0.527523,0.552174,3.586154,112,0,0.162435
20일,20일,,72,2,0.558252,0.604348,21.974735,194,0,0.273103
15일,15일,,71,2,0.557351,0.602899,21.637282,192,0,0.261934
"다음주",다음주,,69,2,0.555556,0.6,22.148009,178,0,0.262382
"피부",피부,,67,2,0.553772,0.597101,21.367291,162,1,0.260252
"추석",추석,,60,2,0.547619,0.586957,9.566458,140,1,0.248556
"기본",기본,,86,2,0.571192,0.624638,31.250987,218,0,0.337475
"느리다",느리다,,43,2,0.53323,0.562319,3.862736,108,1,0.18153
"늦어지다",늦어지다,,46,2,0.535714,0.566667,5.369789,114,0,0.189167
"나나",나나,,51,2,0.539906,0.573913,5.514478,120,1,0.215515
"시기",시기,,88,2,0.57309,0.627536,26.113937,234,0,0.355232
"진하다",진하다,,57,2,0.545024,0.582609,7.659902,174,1,0.235093
"대신",대신,,34,2,0.525915,0.549275,1.593588,106,0,0.154053
"끈적끈적하다",끈적끈적하다,,56,2,0.544164,0.581159,9.771776,146,1,0.227025
"불안하다",불안하다,,53,2,0.541601,0.576812,5.890719,134,0,0.219084
"그다음",그다음,,33,2,0.525114,0.547826,2.532856,278,2,0.140805
"부정",부정,,57,2,0.545024,0.582609,5.387148,140,0,0.234411
"출혈",출혈,,57,2,0.545024,0.582609,5.387148,140,0,0.234411
"언니",언니,,71,2,0.557351,0.602899,19.799486,176,0,0.278507
"주전",주전,,58,2,0.545886,0.584058,11.947893,166,1,0.231378
"줄어들다",줄어들다,,65,2,0.552,0.594203,13.202246,184,0,0.268783
29일,29일,,81,2,0.566502,0.617391,26.410571,202,0,0.307047
"수영",수영,,40,2,0.530769,0.557971,2.782468,90,0,0.153348
"물놀이",물놀이,,51,2,0.539906,0.573913,12.159022,132,0,0.196991
"진",진,,63,2,0.550239,0.591304,12.469959,172,0,0.257316
"똥",똥,,70,2,0.556452,0.601449,12.714461,196,0,0.286313
"찔끔",찔끔,,61,2,0.54849,0.588406,7.408124,144,0,0.256201
"찌르다",찌르다,,63,2,0.550239,0.591304,11.887709,156,1,0.259974
"소량",소량,,31,2,0.52352,0.544928,1.878628,88,1,0.13296
"젖",젖,,84,2,0.569307,0.621739,17.814498,206,1,0.346981
...??,...??,,57,2,0.545024,0.582609,5.701472,156,1,0.242485
*,*,,69,2,0.555556,0.6,11.385195,162,1,0.280786
"월요일",월요일,,36,2,0.527523,0.552174,3.374886,84,0,0.149785
"워터파크",워터파크,,27,2,0.520362,0.53913,2.118525,76,0,0.104559
28일,28일,,45,2,0.534884,0.565217,7.12615,124,0,0.180951
"이틀",이틀,,43,2,0.53323,0.562319,4.519755,100,1,0.177175
"라면",라면,,53,2,0.541601,0.576812,6.104095,134,0,0.224653
"다녀오다",다녀오다,,37,2,0.528331,0.553623,3.904855,78,0,0.151791
"배란",배란,,26,2,0.519578,0.537681,0.936939,58,0,0.109172
"ㅠㅠㅠㅠㅠ",ㅠㅠㅠㅠㅠ,,57,2,0.545024,0.582609,7.733724,142,1,0.245367
"할머니",할머니,,56,2,0.544164,0.581159,10.347392,126,1,0.219721
"죄송하다",죄송하다,,95,2,0.579832,0.637681,33.122621,230,0,0.367076
"잘못",잘못,,51,2,0.539906,0.573913,5.150728,120,1,0.225161
"피색",피색,,43,2,0.53323,0.562319,0.710688,92,0,0.179168
"날짜",날짜,,58,2,0.545886,0.584058,14.301941,150,0,0.215691
"월",월,,58,2,0.545886,0.584058,11.950665,140,0,0.222069
"빨간색",빨간색,,55,2,0.543307,0.57971,10.45989,138,0,0.221013
"욥",욥,,35,2,0.526718,0.550725,1.075204,78,0,0.155818
"배다",배다,,73,2,0.559157,0.605797,12.170274,186,0,0.313041
"끼",끼,,63,2,0.550239,0.591304,13.789512,156,1,0.260573
"콧물",콧물,,60,2,0.547619,0.586957,7.177365,150,1,0.237243
"던데",던데,,66,2,0.552885,0.595652,10.187237,156,1,0.265824
"붉다",붉다,,48,2,0.537383,0.569565,5.877296,136,1,0.204007
"빛",빛,,67,2,0.553772,0.597101,9.175668,194,1,0.28252
12시,12시,,46,2,0.535714,0.566667,5.548708,104,0,0.193444
"점",점,,49,2,0.538222,0.571014,5.792632,120,1,0.208752
"이라도",이라도,,56,2,0.544164,0.581159,13.328183,126,0,0.215463
"만큼",만큼,,52,2,0.540752,0.575362,2.871114,124,0,0.220224
"가게",가게,,32,2,0.524316,0.546377,2.80707,76,0,0.134333
"아래",아래,,65,2,0.552,0.594203,13.454298,150,0,0.253327
"회때",회때,,19,2,0.514158,0.527536,0.333005,66,0,0.081723
"난뒤",난뒤,,26,2,0.519578,0.537681,0,260,2,0.116169
"지나가다",지나가다,,26,2,0.519578,0.537681,0,260,2,0.116169
"묽다",묽다,,39,2,0.529954,0.556522,1.96624,112,1,0.176019
"생존",생존,,40,2,0.530769,0.557971,2.782468,90,0,0.153348
..),..),,56,2,0.544164,0.581159,12.856855,120,1,0.220729
"일요일",일요일,,42,2,0.532407,0.56087,5.650768,114,0,0.179193
"늦추다",늦추다,,23,2,0.517241,0.533333,1.293157,50,0,0.098913
"건너",건너,,79,2,0.564648,0.614493,15.058067,208,0,0.31909
Q,Q,,43,2,0.53323,0.562319,3.914191,98,0,0.181889
22일,22일,,79,2,0.564648,0.614493,18.469847,204,0,0.304469
"중순",중순,,64,2,0.551118,0.592754,9.449508,146,0,0.261846
"댓글",댓글,,33,2,0.525114,0.547826,4.146619,74,1,0.126667
"지난",지난,,42,2,0.532407,0.56087,3.892721,96,0,0.171033
"는걸",는걸,,53,2,0.541601,0.576812,12.746664,110,0,0.192012
????,????,,52,2,0.540752,0.575362,5.47056,120,0,0.211117
"경전",경전,,65,2,0.552,0.594203,6.378762,162,1,0.276436
"전이",전이,,57,2,0.545024,0.582609,4.999184,124,1,0.240811
"갈아",갈아,,69,2,0.555556,0.6,7.266958,162,1,0.294251
"빨",빨,,35,2,0.526718,0.550725,1.212303,80,0,0.158487
"이네",이네,,44,2,0.534056,0.563768,4.194629,98,0,0.188103
"옅다",옅다,,63,2,0.550239,0.591304,14.851487,160,1,0.246444
)-,)-,,61,2,0.54849,0.588406,17.679694,132,0,0.219878
"화요일",화요일,,51,2,0.539906,0.573913,5.087248,122,0,0.226749
"번갈아",번갈아,,54,2,0.542453,0.578261,6.538462,132,0,0.225475
13일,13일,,57,2,0.545024,0.582609,15.466785,136,0,0.213301
"관리",관리,,43,2,0.53323,0.562319,3.885002,100,1,0.180336
"첫째",첫째,,63,2,0.550239,0.591304,14.839186,156,0,0.237164
"번째",번째,,45,2,0.534884,0.565217,5.325936,110,0,0.188389
"바꾸다",바꾸다,,56,2,0.544164,0.581159,5.271013,136,1,0.241942
"ㅋㅋ",ㅋㅋ,,65,2,0.552,0.594203,9.750804,136,1,0.269688
