Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
아빠,아빠,,480,3386,1,2,0.910959,0.951128,34.341008
보,보,,508,4372,0,2,0.956835,0.977444,40.758681
센티,센티,,496,6378,0,2,0.93662,0.966165,30.887661
개,개,,500,4460,0,2,0.943262,0.969925,35.43644
자라다,자라다,,462,3588,1,2,0.883721,0.934211,32.858605
살이,살이,,488,3412,1,2,0.923611,0.958647,36.76213
15,15,,492,4544,0,2,0.93007,0.962406,35.910093
10,10,,518,7318,1,2,0.974359,0.986842,41.721289
글,글,,504,5780,0,2,0.95,0.973684,35.462435
거기,거기,,468,3582,0,2,0.892617,0.93985,27.495607
2년,2년,,488,4202,0,2,0.923611,0.958647,29.251889
올리다,올리다,,496,4734,0,2,0.93662,0.966165,33.841016
그렇게,그렇게,,494,4668,0,2,0.933333,0.964286,32.762521
센치,센치,,448,2778,1,2,0.863636,0.921053,27.03517
건지다,건지다,,472,3326,0,2,0.898649,0.943609,25.579654
매일,매일,,488,3338,1,2,0.923611,0.958647,31.265548
저만,저만,,510,5722,0,2,0.960289,0.979323,38.479405
하나,하나,,496,3430,1,2,0.93662,0.966165,33.745385
나서다,나서다,,498,5162,0,2,0.939929,0.968045,31.589175
사진,사진,,468,3346,0,2,0.892617,0.93985,25.199264
주변,주변,,490,3294,0,2,0.926829,0.960526,34.954525
말다,말다,,502,3496,1,2,0.946619,0.971805,34.039168
편,편,,462,2590,1,2,0.883721,0.934211,32.210423
고추가,고추가,,424,2410,1,2,0.83125,0.898496,16.198715
작,작,,500,4150,0,2,0.943262,0.969925,38.875024
안좋다,안좋다,,476,3170,0,2,0.904762,0.947368,31.435
해봤다,해봤다,,458,3476,0,2,0.877888,0.930451,23.570752
8,8,,500,5636,0,2,0.943262,0.969925,34.098093
남친,남친,,436,3884,0,2,0.847134,0.909774,14.727116
20,20,,480,3906,0,2,0.910959,0.951128,26.454769
14,14,,456,2966,0,2,0.875,0.928571,24.409918
이라고,이라고,,474,4196,0,2,0.901695,0.945489,28.04066
다리,다리,,464,2492,1,2,0.886667,0.93609,29.352284
힘들다,힘들다,,468,3258,0,2,0.892617,0.93985,25.476752
7,7,,512,5024,0,2,0.963768,0.981203,40.855718
남,남,,470,2508,1,2,0.895623,0.941729,28.558232
160,160,,418,3056,1,2,0.823529,0.892857,21.123156
평균,평균,,470,3284,1,2,0.895623,0.941729,27.645731
겨드랑이,겨드랑이,,424,2514,1,2,0.83125,0.898496,26.552758
굵다,굵다,,460,4712,0,2,0.880795,0.932331,20.876834
난,난,,488,4602,0,2,0.923611,0.958647,31.406854
가지,가지,,466,3602,0,2,0.889632,0.93797,22.88895
13,13,,480,4834,0,2,0.910959,0.951128,24.865426
기도,기도,,468,2890,0,2,0.892617,0.93985,30.527334
얼마나,얼마나,,432,2138,1,2,0.841772,0.906015,23.227269
kg,kg,,432,2226,1,2,0.841772,0.906015,23.626598
붙다,붙다,,462,4412,0,2,0.883721,0.934211,20.261096
170,170,,520,5874,1,2,0.977941,0.988722,43.155965
